athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95602,werner moser,1950-12-22 00:00:00,unknown,unknown,unknown,austria,178.0,78.0,unknown
95603,yury moshkin,1931-01-01 00:00:00,unknown,unknown,unknown,soviet union,176.0,70.0,unknown
95604,dalibor motejlek,1942-04-17 00:00:00,vysok nad jizerou,libereck kraj,cze,czechoslovakia,168.0,70.0,unknown
95605,morris mott,1946-05-25 00:00:00,creelman,saskatchewan,can,canada,178.0,75.0,unknown
95606,vern mott,1957-03-26 00:00:00,fillmore,saskatchewan,can,norway,178.0,72.0,unknown
95607,edouard mottier,1891-04-16 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,19680816
95608,simone mottini,1970-03-23 00:00:00,livigno,sondrio,ita,italy,176.0,78.0,unknown
95609,stanisaw motyka,1906-05-06 00:00:00,zakopane,maopolskie,pol,poland,176.0,70.0,19410707
95610,zdzisaw motyka,1907-01-23 00:00:00,zakopane,maopolskie,pol,poland,172.0,72.0,19690321
95611,walter motz,1909-03-22 00:00:00,steinbach,thringen,ger,germany,176.0,70.0,unknown
95612,francis mougel,1960-05-07 00:00:00,cornimont,vosges,fra,france,185.0,78.0,unknown
95613,yvon mougel,1955-05-25 00:00:00,cornimont,vosges,fra,france,185.0,78.0,unknown
95614,mehdi mouidi,1940-10-24 00:00:00,ait attab,bni mellalkhnifra,mar,morocco,175.0,69.0,unknown
95615,bernard moullier,1957-09-27 00:00:00,unknown,unknown,unknown,france,177.0,63.0,unknown
95616,jacques mouvet,1912-12-16 00:00:00,ixelles,rgion de bruxellescapitale,bel,belgium,176.0,70.0,unknown
95617,dick movitz,1925-12-10 00:00:00,salt lake city,utah,usa,united states,168.0,70.0,20100513
95618,christophe moyon,1963-05-12 00:00:00,albert,somme,fra,france,176.0,88.0,unknown
95619,aleksandr mozin,1961-06-09 00:00:00,unknown,unknown,unknown,soviet union,185.0,85.0,20210220
95620,jacques mrozek,1950-05-11 00:00:00,paris,paris,fra,france,171.0,65.0,unknown
95621,faauuga muagututia,1958-05-13 00:00:00,pago pago,eastern,asa,american samoa,178.0,84.0,unknown
95622,stuffy mueller,1906-02-14 00:00:00,waterloo,ontario,can,canada,176.0,70.0,19560706
95623,peter mueller,1954-07-27 00:00:00,madison,wisconsin,usa,united states,180.0,77.0,unknown
95624,albert mugnier,1903-03-11 00:00:00,annecy,hautesavoie,fra,france,176.0,70.0,19741210
95625,paul mugnier,1906-02-10 00:00:00,chamonixmontblanc,hautesavoie,fra,france,170.0,70.0,19850130
95626,josef muigg,1960-07-27 00:00:00,matrei in osttirol,tirol,aut,austria,176.0,70.0,unknown
95627,andriy mukhin,1971-01-06 00:00:00,kyiv,kyiv,ukr,ukraine,183.0,82.0,unknown
95628,charles mulder,1897-07-01 00:00:00,antwerpen antwerp,antwerpen,bel,belgium,176.0,70.0,19530507
95629,tine mulej,1921-01-21 00:00:00,lesce,radovljica,slo,yugoslavia,176.0,70.0,19820409
95630,jack mulhern,1927-07-18 00:00:00,boston,massachusetts,usa,united states,176.0,70.0,20070919
95631,cary mullen,1969-10-02 00:00:00,banff,alberta,can,canada,182.0,88.0,unknown
95632,kirk muller,1966-02-08 00:00:00,kingston,ontario,can,canada,183.0,93.0,unknown
95633,lothar christian munder,1962-07-21 00:00:00,so paulo,so paulo,bra,brazil,188.0,88.0,unknown
95634,ral muiz,1956-08-02 00:00:00,unknown,unknown,unknown,puerto rico,176.0,70.0,unknown
