athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
90616,sheila mae prez,19851210,davao city,davao city,phi,philippines,156.0,54.0,nat
90617,choe songhui,19800507,na,na,na,democratic peoples republic of korea,160.0,53.0,nat
90618,pak yongryong,19801214,na,na,na,democratic peoples republic of korea,166.0,60.0,nat
90619,angelique rodrguez,19750826,san juan,puerto rico,pur,puerto rico,158.0,52.0,nat
90620,aleksandr dobroskok,19820612,buzuluk,orenburg,rus,russian federation,175.0,65.0,nat
90621,igor lukashin,19790807,penza,penza,rus,russian federation,171.0,70.0,nat
90622,yevgeniya olshevskaya,19780907,na,na,na,russian federation,166.0,48.0,nat
90623,yuliya pakhalina,19770912,penza,penza,rus,russian federation,155.0,47.0,nat
90624,jeanromain delaloye,19810603,lausanne,vaud,sui,switzerland,171.0,64.0,nat
90625,jacqueline schneider,19720812,na,na,na,switzerland,170.0,53.0,nat
90626,meerit insawang,19830905,na,na,na,thailand,167.0,57.0,nat
90627,chen ting,19830507,na,na,na,chinese taipei,165.0,59.0,nat
90628,hsieh peihua,19850509,na,na,na,chinese taipei,158.0,50.0,nat
90629,tsai yisan,19831011,na,na,na,chinese taipei,160.0,62.0,nat
90630,dmytro lysenko,19810510,mariupol,donetsk,ukr,ukraine,166.0,60.0,nat
90631,eduard safonov,19780327,na,na,na,ukraine,180.0,70.0,nat
90632,oleksandr skrypnyk,19781231,na,na,na,ukraine,171.0,63.0,nat
90633,hanna sorokina,19760331,zaporizhzhia,zaporizhzhia,ukr,ukraine,168.0,56.0,nat
90634,olha yefimenko,19780517,na,na,na,ukraine,158.0,51.0,nat
90635,michelle davison,19791022,columbia,south carolina,usa,united states,168.0,61.0,nat
90636,troy dumais,19800121,ventura,california,usa,united states,168.0,68.0,nat
90637,sara reilinghildebrand,19790918,saint paul,minnesota,usa,united states,154.0,50.0,nat
90638,mark ruiz,19790409,ro piedras,puerto rico,pur,united states,175.0,66.0,nat
90639,laura wilkinson,19771117,houston,texas,usa,united states,168.0,57.0,nat
90640,alejandra fuentes,19831231,na,na,na,venezuela,160.0,55.0,nat
90641,ramn fumad,19811228,caracas,distrito capital,ven,venezuela,170.0,66.0,nat
90642,luis villarroel,19810702,caracas,distrito capital,ven,venezuela,172.0,73.0,nat
